filghtId,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,duration,days_left,filghtId,price
278519,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Mumbai,14.75,22,278519,45883
264230,Vistara,UK-720,Kolkata,Early_Morning,one,Evening,Mumbai,9.33,6,264230,58223
260097,Vistara,UK-852,Bangalore,Morning,one,Evening,Chennai,10.42,27,260097,49992
218935,Vistara,UK-747,Delhi,Early_Morning,zero,Morning,Kolkata,2.08,47,218935,45896
211085,Air_India,AI-762,Delhi,Night,one,Night,Mumbai,23.83,41,211085,59033
251748,Air_India,AI-505,Bangalore,Morning,one,Night,Mumbai,11.17,37,251748,54684
292760,Air_India,AI-430,Chennai,Morning,one,Night,Mumbai,11.33,39,292760,49553
292966,Air_India,AI-440,Chennai,Early_Morning,one,Night,Mumbai,15.08,42,292966,49553
245610,Air_India,AI-565,Bangalore,Afternoon,one,Morning,Delhi,18.75,12,245610,37658
261821,Air_India,AI-773,Kolkata,Evening,one,Afternoon,Delhi,19,11,261821,53743
283750,Vistara,UK-830,Hyderabad,Morning,one,Evening,Kolkata,9.25,18,283750,63579
282713,Vistara,UK-874,Hyderabad,Morning,one,Night,Bangalore,12.42,45,282713,38099
281982,Air_India,AI-698,Hyderabad,Night,one,Evening,Bangalore,20.25,32,281982,38043
252526,Air_India,AI-604,Bangalore,Morning,zero,Morning,Mumbai,2,46,252526,20760
279317,Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,16,34,279317,45883
285809,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Chennai,13.42,12,285809,51707
246698,Vistara,UK-852,Bangalore,Morning,one,Evening,Delhi,8.58,25,246698,54841
274732,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Chennai,13.08,49,274732,55983
271464,Vistara,UK-738,Kolkata,Evening,one,Evening,Hyderabad,22.25,27,271464,52175
243380,Air_India,AI-888,Mumbai,Evening,one,Evening,Chennai,24,28,243380,49613
273198,Vistara,UK-708,Kolkata,Night,one,Evening,Chennai,19.92,15,273198,55983
272055,Vistara,UK-776,Kolkata,Evening,one,Night,Hyderabad,27.33,39,272055,49207
286178,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Chennai,15.92,20,286178,64139
292906,Vistara,UK-832,Chennai,Early_Morning,one,Afternoon,Mumbai,7.08,41,292906,56273
214451,Air_India,AI-665,Delhi,Early_Morning,one,Evening,Bangalore,10.5,32,214451,42457
293236,Vistara,UK-838,Chennai,Night,one,Morning,Mumbai,14.08,46,293236,64113
298092,Vistara,UK-834,Chennai,Evening,one,Afternoon,Hyderabad,19.42,2,298092,82784
272888,Vistara,UK-778,Kolkata,Afternoon,one,Morning,Chennai,18.58,8,272888,56879
251389,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,15.83,33,251389,54684
