"분류","자치구","공연/행사명","날짜/시간","장소","기관명","이용대상","이용요금","출연자정보","프로그램소개","기타내용","홈페이지?주소","대표이미지","신청일","시민/기관","시작일","종료일","테마분류","위도(X좌표)","경도(Y좌표)","유무료","문화포털상세URL"
"클래식","강남구","2024 파리나무십자가 소년합창단 특별초청공연","2024-12-22~2024-12-22","예술의전당 콘서트홀","기타","초등학생이상 관람가","R석 11만원 /S석 9만원 /A석 7만원 /B석 5만원 /C석 4만원","파리나무십자가소년합창단","하나되는 세상","대한민국공연전문가82인선정 연말클래식추천공연1위 ","https://tickets.interpark.com/goods/24012229","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ac5397b05f9b4b068acc32ccd76b15c9&thumb=Y","2024-08-29","시민","2024-12-22 00:00:00.0","2024-12-22 00:00:00.0","기타","37.4802401962069","127.014215239186","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=149289&menuNo=200008"
"뮤지컬/오페라","종로구","오페라 갈라","2024-12-07~2024-12-07","세종대극장","세종문화회관","7세 이상 관람 가능(2017년생부터 관람 가능)","SUITE석 140,000원 / VIP석 120,000원 / R석 100,000원 / S석 80,000원 / A석 50,000원 / B석 30,000원","","<html><head></head><body spellcheck=","","https://www.sejongpac.or.kr/portal/performance/performance/view.do?menuNo=200004&performIdx=34877","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a6cb4e5a9b5b404e83454b084d88a399&thumb=Y","2024-01-26","기관","2024-12-07 00:00:00.0","2024-12-07 00:00:00.0","기타","37.5726241","126.9760053","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=144976&menuNo=200008"
"클래식","마포구","[마포문화재단] M 아티스트 2024 김동현 바이올린 리사이틀 II","2024-12-06~2024-12-06","마포아트센터 아트홀맥","마포문화재단"," 8세이상 관람가능(미취학아동입장불가)"," R석 55,000원, S석 44,000원, A석 33,000원","","","","https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2345&page=1","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e7b51578b45f454084ab19f4f228e0ba&thumb=Y","2024-05-16","기관","2024-12-06 00:00:00.0","2024-12-06 00:00:00.0","기타","37.5499060881738","126.945533810385","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=146870&menuNo=200008"
"클래식","종로구","서울시합창단 송년음악회","2024-12-05~2024-12-05","세종대극장","세종문화회관","7세 이상 관람 가능(2017년생부터 관람 가능)","R 50,000원 / S 40,000원 / A 30,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/view.do?menuNo=200004&performIdx=34830","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=86a744fd432e413b91b0d534bf96572f&thumb=Y","2024-01-26","기관","2024-12-05 00:00:00.0","2024-12-05 00:00:00.0","기타","37.5726241","126.9760053","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=145003&menuNo=200008"
"전시/미술","강남구","2024 서울 일러스트코리아 winter","2024-11-29~2024-12-01","양재 aT센터","기타","누구나","정가 10,000원ㅣ사전등록 후 사전 결제가 : ~ 11월 28일(목)까지 결제시5,000원ㅣ사전등록 후 현장 결제가 : 10,000원","","","","https://illustrationkorea.co.kr/at/illustrationkorea2024/","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=59da975904c94facbf6989987c187525&thumb=Y","2024-04-17","시민","2024-11-29 00:00:00.0","2024-12-01 00:00:00.0","기타","37.4682787075426","127.039136433366","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=146303&menuNo=200009"
"클래식","종로구","2024 카즈미 타테이시 트리오 내한공연-지브리, 재즈를 만나다-(서울 세종)","2024-11-29~2024-11-30","세종문화회관 M씨어터","기타","만 7세 이상","VIP석 77,000원 R석 66,000원 S석 55,000원","","","","https://tickets.interpark.com/goods/P0003949","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=40f4dac2ddb642329a7c4beafbdc50c7&thumb=Y","2024-07-23","시민","2024-11-29 00:00:00.0","2024-11-30 00:00:00.0","기타","37.5726241","126.9760053","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148333&menuNo=200008"
"국악","종로구","서울시국악관현악단 제362회 정기연주회","2024-11-29~2024-11-29","세종대극장","세종문화회관","7세 이상 관람 가능(2017년생부터 관람 가능)","R 50,000원 / S 40,000원 / A 30,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/view.do?menuNo=200004&performIdx=34840","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d32968623ba34ff0a593e5a257304c6f&thumb=Y","2024-01-26","기관","2024-11-29 00:00:00.0","2024-11-29 00:00:00.0","기타","37.5726241","126.9760053","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=145002&menuNo=200008"
"기타","강동구","[강동문화재단] 11월 한밤의 공연 산책 [서커스 올림픽+특별한 순간들]","2024-11-29~2024-11-29","소극장 드림","강동문화재단","36개월 이상 관람가","전석 20,000원","","","","https://www.gdfac.or.kr/product/ko/performance/258059","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f8acc7434d564c9ba6acc57c97dfbea5&thumb=Y","2024-09-02","기관","2024-11-29 00:00:00.0","2024-11-29 00:00:00.0","기타","37.5512204558342","127.157342546961","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=149347&menuNo=200013"
"기타","마포구","[마포문화재단] [음악공간 : PLAYLIST]＇보헤미아의 숲＇브람스가 드보르자크를 만난 날","2024-11-27~2024-11-27","마포아트센터 플레이맥","마포문화재단","8세 이상 관람가","일반석 10,000원 / 마포구민석 5,000원","","","","https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2358&page=1","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3b2f4b7f8349411f83b04d0e6fb083c3&thumb=Y","2024-05-27","기관","2024-11-27 00:00:00.0","2024-11-27 00:00:00.0","기타","37.5499060881738","126.945533810385","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=147112&menuNo=200013"
"교육/체험","종로구","[세종예술아카데미] 퇴근길 미술 한잔 : 냉정과 열정사이","2024-11-21~2024-12-19","서클홀","세종문화회관","누구나","150,000원","","","","https://www.sejongpac.or.kr/portal/academy/academyProgram/view.do?courseCd=CS102103242190000059&menuNo=200560&searchYear=2024&listType=1&pageIndex=2","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=888f8996e4be404193206ca08ffa248e&thumb=Y","2024-08-14","기관","2024-11-21 00:00:00.0","2024-12-19 00:00:00.0","기타","37.5726241","126.9760053","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148930&menuNo=200011"
